age_Ma,loess_d13C,loess_d18O,loess_long_d13C,loess_long_d18O
0.880,-1.427,4.874,-0.72320008,4.3539934
0.882,-1.397,4.827,-0.72112471,4.3520479
0.884,-1.394,4.831,-0.7190606,4.3501124
0.886,-1.419,4.851,-0.71701068,4.3481879
0.888,-1.487,4.871,-0.71497804,4.3462763
0.890,-1.535,4.883,-0.71296567,4.3443789
0.892,-1.567,4.871,-0.7109766,4.3424969
0.894,-1.534,4.841,-0.70901388,4.3406324
0.896,-1.267,4.791,-0.70708054,4.3387861
0.898,-0.937,4.726,-0.70517963,4.3369598
0.900,-0.632,4.623,-0.70331413,4.3351555
0.902,-0.399,4.514,-0.70148712,4.3333735
0.904,-0.396,4.438,-0.69970161,4.3316164
0.906,-0.454,4.378,-0.69796062,4.3298855
0.908,-0.459,4.351,-0.69626719,4.3281813
0.910,-0.455,4.334,-0.6946243,4.3265061
0.912,-0.426,4.288,-0.69303507,4.3248615
0.914,-0.422,4.246,-0.69150251,4.3232484
0.916,-0.474,4.224,-0.69002962,4.3216686
0.918,-0.548,4.234,-0.68861943,4.3201232
0.920,-0.643,4.294,-0.68727499,4.318614
0.922,-0.786,4.382,-0.68599933,4.3171425
0.924,-1.058,4.523,-0.68479544,4.3157101
0.926,-1.302,4.653,-0.68366641,4.3143182
0.928,-1.358,4.710,-0.68261522,4.3129687
0.930,-1.336,4.715,-0.68164492,4.3116622
0.932,-1.242,4.615,-0.68066698,4.3103786
0.934,-1.139,4.482,-0.67959279,4.3090963
0.936,-1.170,4.363,-0.67842513,4.307816
0.938,-1.087,4.278,-0.67716706,4.3065367
0.940,-0.969,4.205,-0.67582142,4.3052588
0.942,-0.755,4.146,-0.67439109,4.3039823
0.944,-0.545,4.089,-0.67287904,4.3027072
0.946,-0.496,4.024,-0.67128819,4.3014331
0.948,-0.479,3.948,-0.66962141,4.3001604
0.950,-0.383,3.851,-0.66788167,4.2988892
0.952,-0.294,3.749,-0.66607177,4.2976189
0.954,-0.255,3.627,-0.66419476,4.29635
0.956,-0.248,3.524,-0.66225344,4.2950826
