Sample ID,Depth (m),Age (Ma),O. umbonatus Mg/Ca,O. umbonatus Mg/Ca_adj,O. umbonatus B/Ca,C. mundulus d18O,C. mundulus d13C,interpolated d18O,interpolated d18O-BWT,C. wuellerstorfi Mg/Ca [mmol/mol],C. mundulus Mg/Ca [mmol/mol],BWT (O. umbonatus Mg-temp),BWT (C. wuellerstorfi Mg-temp),BWT (C. mundulus Mg-temp)
"130-806B-18H-6,66-70",166.66,5.4462,,,,,,,,,,,,
"130-806B-18H-7,46-50",167.96,5.4792,,,,,,,,,,,,
"130-806B-19H-1,66-70",168.66,5.497,,,,,,,,,,,,
"130-806B-19H-2,66-70",170.16,5.5351,,,,,,,,,,,,
"130-806B-19H-3,66-70",171.66,5.5732,,,,,,,,,1.4639,,,4.4525
"130-806B-19H-3,66-70",171.66,5.5732,,,,,,,,1.4035,,,4.4192,
"130-806B-19H-4,66-70",173.16,5.6113,,,,,,,,,,,,
"130-806B-19H-5,66-70",174.66,5.6494,,,,,,,,,,,,
"130-806B-19H-6,66-70",176.16,5.6875,,,,,,,,,,,,
"130-806B-19H-7,46-50",177.46,5.7205,,,,,,,,,,,,
"130-806B-20H-1,66-70",178.16,5.7383,,,,,,,,,,,,
"130-806B-20H-2,66-70",179.66,5.7764,,,,,,,,,,,,
"130-806B-20H-2,66-70",181.16,5.8145,,,,,,,,1.5316,,,5.2206,
"130-806B-20H-3,66-70",181.16,5.8145,,,,,,,,,1.678,,,5.705
"130-806B-20H-3,66-70",181.16,5.8145,2.0187,2.0187,,,,,,,,6.092,,
"130-806B-20H-3,66-70",181.16,5.8145,,,,,,,,1.5192,,,5.146,
"130-806B-20H-4,66-70",182.66,5.8526,,,,,,,,,,,,
"130-806B-20H-5,66-70",184.16,5.8907,,,,,,,,,,,,
"130-806B-20H-6,66-70",185.66,5.9288,,,,,,,,,,,,
"130-806B-20H-7,46-50",186.96,5.9618,,,,,,,,,,,,
"130-806B-21H-1,66-70",187.66,5.9796,,,,,,,,,,,,
"130-806B-21H-2,66-70",189.16,6.0177,,,,,,,,,,,,
"130-806B-21H-3,66-70",190.66,6.0558,,,,,,,,,1.6281,,,5.4282
"130-806B-21H-3,66-70",190.66,6.0558,,,,,,,,,,,,
"130-806B-21H-3,66-70",190.66,6.0558,,,,,,,,1.6491,,,5.8989,
"130-806B-21H-3,66-70",190.66,6.0558,1.9365,1.9365,,,,,,,,5.7275,,
"130-806B-21H-4,66-70",192.16,6.0939,,,,,,,,,,,,
"130-806B-21H-5,66-70",193.66,6.132,,,,,,,,,,,,
"130-806B-21H-6,66-70",195.16,6.1701,,,,,,,,,,,,
"130-806B-21H-7,46-50",196.46,6.2032,,,,,,,,,,,,
"130-806B-22H-1,68-72",197.18,6.2215,,,,,,,,,,,,
"130-806B-22H-2,66-70",198.66,6.2591,,,,,,,,,,,,
"130-806B-22H-3,66-70",200.16,6.2972,,,,,,,,,1.7588,,,6.1367
"130-806B-22H-3,66-70",200.16,6.2972,1.9555,1.9555,,,,,,,,5.813,,
"130-806B-22H-3,66-70",200.16,6.2972,,,,,,,,1.5359,,,5.2464,
"130-806B-22H-4,66-70",201.66,6.3353,,,,,,,,,,,,
"130-806B-22H-5,66-70",203.16,6.3734,,,,,,,,,,,,
"130-806B-22H-6,66-70",204.66,6.4115,,,,,,,,,,,,
"130-806B-22H-7,46-50",205.96,6.4445,,,,,,,,,,,,
"130-806B-23H-1,66-70",206.66,6.4623,,,,,,,,,,,,
"130-806B-23H-2,56-60",208.06,6.4978,,,,,,,,,,,,
"130-806B-23H-3,66-70",209.66,6.5385,,,,,,,,,,,,
"130-806B-23H-4,66-70",211.16,6.5766,,,,,,,,,,,,
"130-806B-23H-5,66-70",212.66,6.6147,,,,,,,,,,,,
"130-806B-23H-6,66-70",214.16,6.6528,,,,,,,,,,,,
"130-806B-23H-7,43-47",215.43,6.6851,,,,,,,,,,,,
"130-806B-24H-1,66-70",216.16,6.7036,,,,,,,,,,,,
"130-806B-24H-2,66-70",217.66,6.7417,,,,,,,,,,,,
"130-806B-24H-3,66-70",219.16,6.7798,,,,,,,,1.5538,,,5.3528,
"130-806B-24H-3,66-70",219.16,6.7798,,,,,,,,,1.5374,,,4.9025
"130-806B-24H-3,66-70",219.16,6.7798,1.9416,1.9416,,,,,,,,5.7505,,
"130-806B-24H-4,66-70",220.66,6.8179,,,,,,,,,,,,
"130-806B-24H-5,66-70",222.16,6.856,,,,,,,,,,,,
"130-806B-24H-6,66-70",223.66,6.8941,,,,,,,,,,,,
"130-806B-24H-7,46-50",224.96,6.9272,,,,,,,,,,,,
"130-806B-25H-1,66-70",225.66,6.9449,,,,,,,,,,,,
"130-806B-25H-2,66-70",227.16,6.983,,,,,,,,,,,,
"130-806B-25H-3,66-70",228.66,7.0212,,,,,,,,1.628,,,5.7803,
"130-806B-25H-3,66-70",228.66,7.0212,,,,,,,,,1.7516,,,6.099
"130-806B-25H-3,66-70",228.66,7.0212,1.8635,1.8635,,,,,,,,5.3903,,
"130-806B-25H-4,66-70",230.16,7.0593,,,,,,,,,,,,
"130-806B-25H-5,66-70",231.66,7.0974,,,,,,,,,,,,
"130-806B-25H-6,66-70",233.16,7.1355,,,,,,,,,,,,
"130-806B-25H-7,36-40",234.36,7.1659,,,,,,,,,,,,
"130-806B-26H-1,66-70",235.16,7.1863,,,,,,,,,,,,
"130-806B-26H-2,66-70",236.66,7.2244,,,,,,,,,,,,
"130-806B-26H-3,66-70",238.16,7.2625,2.1537,2.1537,,,,,,,,6.66,,
"130-806B-26H-3,66-70",238.16,7.2625,,,,,,,,,1.6216,,,5.3915
"130-806B-26H-3,66-70",238.16,7.2625,,,,,,,,1.6789,,,6.063,
"130-806B-26H-4,66-70",239.66,7.3006,,,,,,,,,,,,
"130-806B-26H-5,66-70",241.16,7.3387,,,,,,,,,,,,
"130-806B-26H-6,66-70",242.66,7.3768,,,,,,,,,,,,
"130-806B-26H-7,46-50",243.96,7.4098,,,,,,,,,,,,
"130-806B-27H-1,66-70",244.66,7.4276,,,,,,,,,,,,
"130-806B-27H-2,66-70",246.16,7.4657,,,,,,,,,,,,
"130-806B-27H-3,66-70",247.66,7.5038,,,,,,,,1.5316,,,5.2205,
"130-806B-27H-3,66-70",247.66,7.5038,,,,,,,,,1.5656,,,5.069
"130-806B-27H-3,66-70",247.66,7.5038,1.9251,1.9251,,,,,,,,5.6757,,
"130-806B-27H-4,66-70",249.16,7.5419,,,,,,,,,,,,
"130-806B-27H-5,66-70",250.66,7.58,,,,,,,,,,,,
"130-806B-27H-6,66-70",252.16,7.6181,,,,,,,,,,,,
"130-806B-27H-7,46-50",253.46,7.6511,,,,,,,,,,,,
"130-806B-28H-1,66-70",254.16,7.6689,,,,,,,,,,,,
"130-806B-28H-2,66-70",255.66,7.707,,,,,,,,,,,,
"130-806B-28H-3,66-70",257.16,7.7451,,,,,,,,,1.6974,,,5.8106
"130-806B-28H-3,66-70",257.16,7.7451,,,,,,,,1.5826,,,5.5211,
"130-806B-28H-3,66-70",257.16,7.7451,2.1205,2.1205,,,,,,,,6.5237,,
"130-806B-28H-3,66-70",257.16,7.7451,,,,,,,,1.5969,,,5.6036,
"130-806B-28H-4,66-70",258.66,7.7832,,,,,,,,,,,,
"130-806B-28H-5,66-70",260.16,7.8213,,,,,,,,,,,,
"130-806B-28H-6,66-70",261.66,7.8594,,,,,,,,,,,,
"130-806B-28H-7,46-50",262.96,7.8925,,,,,,,,,,,,
"130-806B-29H-1,66-70",263.66,7.9103,,,,,,,,,,,,
"130-806B-29H-2,66-70",265.16,7.9484,,,,,,,,,,,,
"130-806B-29H-3,66-70",266.66,7.9865,,,,,,,,,,,,
"130-806B-29H-4,66-70",268.16,8.0246,,,,,,,,,,,,
"130-806B-29H-5,66-70",269.66,8.0627,,,,,,,,,,,,
"130-806B-29H-6,66-70",271.16,8.1008,,,,,,,,,,,,
"130-806B-29H-7,46-50",272.46,8.1338,,,,,,,,,,,,
"130-806B-30H-1,75-79",273.25,8.1539,,,,,,,,,,,,
"130-806B-30H-2,75-79",274.75,8.192,,,,,,,,,,,,
"130-806B-30H-3,85-89",276.35,8.2326,,,,,,,,,1.6158,,,5.3584
"130-806B-30H-3,85-89",276.35,8.2326,2.1619,2.1619,,,,,,,,6.6931,,
"130-806B-30H-3,85-89",276.35,8.0282,,,,,,,,,,,,
"130-806B-30H-4,75-79",277.75,8.2682,,,,,,,,,,,,
"130-806B-30H-5,75-79",279.25,8.3063,,,,,,,,,,,,
"130-806B-30H-6,75-79",280.75,8.3444,,,,,,,,,,,,
"130-806B-30H-7,46-50",281.96,8.3751,,,,,,,,,,,,
"130-806B-31H-1,75-79",282.75,8.3952,,,,,,,,,,,,
"130-806B-31H-2,75-79",284.25,8.4333,,,,,,,,,,,,
"130-806B-31H-3,75-79",285.75,8.4714,,,,,,,,1.5617,,,5.3989,
"130-806B-31H-3,75-79",285.75,8.4714,,,,,,,,,1.615,,,5.3541
"130-806B-31H-3,75-79",285.75,8.4714,2.0337,2.0337,,,,,,,,6.1569,,
"130-806B-31H-4,75-79",287.25,8.5095,,,,,,,,,,,,
"130-806B-31H-5,75-79",288.75,8.5476,,,,,,,,,,,,
"130-806B-31H-6,75-79",290.25,8.5857,,,,,,,,,,,,
"130-806B-31H-7,46-50",291.46,8.6165,,,,,,,,,,,,
"130-806B-32H-1,75-79",292.25,8.6365,,,,,,,,,,,,
"130-806B-32H-2,75-79",293.75,8.6746,,,,,,,,,,,,
"130-806B-32H-3,75-79",295.25,8.7127,,,,,,,,1.6533,,,5.9219,
"130-806B-32H-4,75-79",296.75,8.7508,,,,,,,,,,,,
"130-806B-32H-5,75-79",298.25,8.7889,,,,,,,,,,,,
"130-806B-32H-6,75-79",299.75,8.827,,,,,,,,,,,,
"130-806B-32H-7,46-50",300.96,8.8578,,,,,,,,,,,,
"130-806B-33H-1,75-79",301.75,8.8779,,,,,,,,,,,,
"130-806B-33H-2,75-79",303.25,8.916,,,,,,,,,,,,
"130-806B-33H-3,75-79",304.75,8.8533,,,,,,,,,,,,
"130-806B-33H-4,75-79",306.25,8.9922,,,,,,,,,,,,
"130-806B-33H-5,75-79",307.75,9.0303,,,,,,,,,,,,
"130-806B-33H-6,75-79",309.25,9.0684,,,,,,,,,,,,
"130-806B-33H-7,45-49",310.45,9.0989,,,,,,,,,,,,
"130-806B-34H-1,73-77",311.23,9.1187,,,,,,,,,,,,
"130-806B-34H-2,75-79",312.75,9.1573,,,,,,,,,,,,
"130-806B-34H-3,77-81",314.27,9.1959,,,,,,,,,,,,
"130-806B-34H-4,75-79",315.75,9.2335,,,,,,,,,,,,
"130-806B-34H-5,75-79",317.25,9.2716,,,,,,,,,,,,
"130-806B-34H-6,75-79",318.75,9.3097,,,,,,,,,,,,
"130-806B-34H-7,45-49",319.95,9.3402,,,,,,,,,,,,
"130-806B-35X-1,75-79",320.75,9.3605,,,,,,,,,,,,
"130-806B-35X-2,75-79",322.25,9.3986,,,,,,,,,,,,
