Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
ODP1088,11.84,0.923,1.67,2.1,Cibicidoides wuellerstorfi,2086,BillupsScheiderich10
ODP0747,,0.924,1.54,1.88,Cibicidoides wuellerstorfi,1697,BillupsSchrag02
DSDP607,37.2,0.925,1.08,1.48,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,37.4,0.928,1.07,1.47,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,37.6,0.932,1.16,1.59,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
ODP0806,21.63,0.932,1.25,1.57,Cibicidoides wuellerstorfi,2534,LearRosenthalWright03
ODP0806,21.63,0.932,1.55,1.6,Oridorsalis umbonatus,2534,LearRosenthalWright03
DSDP607,37.7,0.936,1.29,1.77,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,37.9,0.939,1.19,1.63,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,38,0.942,1.46,2.01,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,38.2,0.945,1.44,1.98,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,38.3,0.948,1.45,2,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,38.6,0.954,1.52,2.1,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
ODP0926,34.93,0.96,1.48,1.66,Oridorsalis umbonatus,3612,LearRosenthalWright03
ODP0926,34.93,0.96,1.19,1.68,Cibicidoides wuellerstorfi,3612,LearRosenthalWright03
DSDP607,38.9,0.963,1.36,1.87,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,39.1,0.967,1.31,1.8,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,39.2,0.97,1.41,1.94,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,39.4,0.975,1.39,1.91,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
ODP1088,12.59,0.978,1.59,1.99,Cibicidoides wuellerstorfi,2087,BillupsScheiderich10
DSDP607,39.5,0.978,1.37,1.89,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,39.7,0.982,1.36,1.87,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,39.8,0.985,1.42,1.96,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,40,0.988,1.24,1.7,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,40.1,0.991,1.2,1.65,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,40.3,0.994,1.57,2.17,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
